"pft","feature","x","ale_mean","ale_lo","ale_hi","bin_count","n_folds"
"Coccolithophores","ice_area_flux_lag1",-73180.6,-0.0132568310187681,-0.0147778061105136,-0.0124983467510313,1560,5
"Coccolithophores","ice_area_flux_lag1",-65703.1,-0.00538356355556621,-0.00610699555487147,-0.00473649013773514,1656,5
"Coccolithophores","ice_area_flux_lag1",-59318.95,-0.00444142398307682,-0.00576234826290835,-0.00357159390642991,1359,5
"Coccolithophores","ice_area_flux_lag1",-57087.7,-0.00314553683747267,-0.00429210806128363,-0.00198060432295428,1418,5
"Coccolithophores","ice_area_flux_lag1",-52428.75,-0.0026057983375773,-0.00305256873057099,-0.00223829371373971,1740,5
"Coccolithophores","ice_area_flux_lag1",-46458.55,-0.00175079562325583,-0.00219317654804683,-0.00105092435379665,1462,5
"Coccolithophores","ice_area_flux_lag1",-41696.5,0.00626200618327976,0.00536297072599293,0.00841181774615616,1398,5
"Coccolithophores","ice_area_flux_lag1",-37485.5,0.0116326640346158,0.0104923944351656,0.0127686339077444,1511,5
"Coccolithophores","ice_area_flux_lag1",-34042.15,0.0117113596310465,0.0106719143666115,0.0120700223552476,1495,5
"Coccolithophores","ice_area_flux_lag1",-29113.8,0.00944978361338009,0.0084292910373638,0.00989652292669338,1471,5
"Coccolithophores","ice_area_flux_lag1",-22279.4,0.0093408344969903,0.00801283769313146,0.00988705336883616,1615,5
"Coccolithophores","ice_area_flux_lag1",-17055.05,0.0112124113722845,0.0104612127060933,0.0111950086659951,1488,5
"Coccolithophores","ice_area_flux_lag1",-13933.1,0.011319460051486,0.0110555509002001,0.0124871673909015,1234,5
"Coccolithophores","ice_area_flux_lag1",-8274.95,0.0112589625962,0.0104587421466638,0.0121189899083308,1603,5
"Coccolithophores","ice_area_flux_lag1",2004.65,0.0183633010223399,0.0171166783063235,0.0187351005407532,1739,5
"Coccolithophores","ice_area_flux_lag2",-167123.35,-0.0125451183546698,-0.0142214084092801,-0.0107274886820727,1372,5
"Coccolithophores","ice_area_flux_lag2",-149032.65,-0.0129149157689486,-0.0145965573323432,-0.0110193585621471,1472,5
"Coccolithophores","ice_area_flux_lag2",-131478,-0.011952077326372,-0.0134715130100539,-0.00978694385629027,1388,5
"Coccolithophores","ice_area_flux_lag2",-116519.65,-0.0115859051192791,-0.0134117433195011,-0.00931508310782054,1535,5
"Coccolithophores","ice_area_flux_lag2",-110905.7,-0.010923517507503,-0.0128918217387916,-0.00872980243934491,1429,5
"Coccolithophores","ice_area_flux_lag2",-105966.6,-0.0101834152576651,-0.0115305478887328,-0.00845761029945321,1541,5
"Coccolithophores","ice_area_flux_lag2",-98890.4,-0.00683122746196082,-0.00935492021560697,-0.00720439574225236,1629,5
"Coccolithophores","ice_area_flux_lag2",-92388.6,-0.00755645117508157,-0.00935425774486209,-0.00801821714473224,1571,5
"Coccolithophores","ice_area_flux_lag2",-85134.95,-0.00669074964283865,-0.00779597651557475,-0.00647308037494074,1342,5
"Coccolithophores","ice_area_flux_lag2",-77819.75,-0.00458822881523318,-0.00590247017428271,-0.00496622853290787,1482,5
"Coccolithophores","ice_area_flux_lag2",-73151.45,-0.00279988376161162,-0.00393910377188855,-0.00346073937088615,1581,5
"Coccolithophores","ice_area_flux_lag2",-65720.7,0.0100882121679844,0.0094538080255317,0.0115569198810299,1367,5
"Coccolithophores","ice_area_flux_lag2",-59740.55,0.0059123992982003,0.00502218796011457,0.00665057140997465,1558,5
"Coccolithophores","ice_area_flux_lag2",-57837.25,0.0052453182857096,0.00475846016595568,0.0061608621328961,1601,5
"Coccolithophores","ice_area_flux_lag2",-52774.3,0.00717936989580111,0.0056772687311561,0.00918594132619923,1479,5
"Coccolithophores","ice_area_flux_lag2",-46458.55,0.00822303369701348,0.00690882974846874,0.011004698017034,1599,5
"Coccolithophores","ice_area_flux_lag2",-40950.3,0.0098358491560381,0.00831052192467977,0.0125079989996053,1542,5
"Coccolithophores","ice_area_flux_lag2",-34872.2,0.0128561021191335,0.0103098089566386,0.0154422419976973,1238,5
"Coccolithophores","ice_area_flux_lag2",-26066.9,0.0178417520562026,0.0154073908045004,0.0208414258233119,1582,5
"Coccolithophores","ice_area_flux_lag2",-17781.3,0.0181018344842578,0.0165118402299107,0.0210650593063957,1692,5
"Coccolithophores","ice_volume_flux_cumOct",-2285.6,0.0123814010587204,0.0117002290981644,0.0138052289241083,1340,5
"Coccolithophores","ice_volume_flux_cumOct",-1990.8,0.00879503387363791,0.00814143616431996,0.00894203029608713,1461,5
"Coccolithophores","ice_volume_flux_cumOct",-1830.75,0.00472837145111316,0.00412430371514012,0.00572733064778959,1535,5
"Coccolithophores","ice_volume_flux_cumOct",-1781.8,0.00312254880536984,0.00257064262097593,0.00355576931166267,1426,5
"Coccolithophores","ice_volume_flux_cumOct",-1714.4,-0.000156574290846134,-0.000848103760369,0.000626751780067582,1572,5
"Coccolithophores","ice_volume_flux_cumOct",-1650.9,-0.000735712672721516,-0.00127034940687659,0.000224793846767237,1631,5
"Coccolithophores","ice_volume_flux_cumOct",-1621.9,-0.000961371971820425,-0.00157245360735373,6.37458489448559e-05,1293,5
"Coccolithophores","ice_volume_flux_cumOct",-1544.75,-0.00174983546663615,-0.00208542252470447,-0.00124450550548959,1412,5
"Coccolithophores","ice_volume_flux_cumOct",-1455.3,-0.00266806069244077,-0.0027064245241139,-0.00252190180883901,1743,5
"Coccolithophores","ice_volume_flux_cumOct",-1389.45,-0.00293088632084153,-0.00313274594458923,-0.00272261327474494,1541,5
"Coccolithophores","ice_volume_flux_cumOct",-1315.35,-0.00303941623426344,-0.00316619116375013,-0.00281197081122849,1245,5
"Coccolithophores","ice_volume_flux_cumOct",-1255.05,-0.0031867406253155,-0.00329962997310627,-0.00308265661703686,1545,5
"Coccolithophores","ice_volume_flux_cumOct",-1209.2,-0.00289057830257614,-0.00332664405654722,-0.00246908626937135,1565,5
"Coccolithophores","ice_volume_flux_cumOct",-1172.85,-0.00353673018997743,-0.00402499320081372,-0.00293302369591526,1526,5
"Coccolithophores","ice_volume_flux_cumOct",-1137.9,-0.00449162634706837,-0.00469979257319868,-0.00390389762549552,1534,5
"Coccolithophores","ice_volume_flux_cumOct",-1060.65,-0.00408889966694571,-0.00432396736718597,-0.00349622156492588,1520,5
"Coccolithophores","ice_volume_flux_cumOct",-988.8,-0.00206200725059571,-0.00222033304565138,-0.00123557103239547,1338,5
"Coccolithophores","ice_volume_flux_cumOct",-970.4,-6.54284641206399e-05,-2.9921835382609e-05,0.000545920110231586,1449,5
"Coccolithophores","ice_volume_flux_cumOct",-920.95,0.000543255401541567,3.00422756088631e-05,0.00141562528630815,1751,5
"Coccolithophores","ice_volume_flux_cumOct",-784.3,0.00433033004278713,0.00388380210576454,0.00501301523863487,1573,5
"Coccolithophores","ice_volume_flux_current",-245.6,-0.000185894747254487,0.000175418537176757,0.000869482272654011,1419,5
"Coccolithophores","ice_volume_flux_current",-166.2,0.000741262419406832,0.000487761600499695,0.00168283999536271,1334,5
"Coccolithophores","ice_volume_flux_current",-129.25,0.000363284563623363,-0.000223648620014728,0.00153844218778847,1629,5
"Coccolithophores","ice_volume_flux_current",-111.95,0.000773028995720246,0.000247584622975774,0.00173134149022093,1604,5
"Coccolithophores","ice_volume_flux_current",-102,-0.00095538883305457,-0.00174692229591434,0.000173916338643813,1253,5
"Coccolithophores","ice_volume_flux_current",-93.55,-0.00191139052268018,-0.00274096449433242,-0.000425378317488144,1707,5
"Coccolithophores","ice_volume_flux_current",-86.25,-0.00172592538972528,-0.00234241351524367,-0.00027405336262574,1467,5
"Coccolithophores","ice_volume_flux_current",-76.65,-0.00151989867293962,-0.00218286489709302,-0.000179394908302568,1056,5
"Coccolithophores","ice_volume_flux_current",-62,-0.000536927339442165,-0.000946813123350828,0.000257359726940967,1979,5
